secteur;site;tstamp;trafic_mbps;;;
T78259A;T78259;lundi 2 juillet 2018;6.749260547;;;
T78259B;T78259;lundi 2 juillet 2018;6.964139182;;;
T78259C;T78259;lundi 2 juillet 2018;3.81294493;;;
T78262A;T78262;lundi 2 juillet 2018;9.329218671;;;
T78262B;T78262;lundi 2 juillet 2018;7.298584646;;;
T78262C;T78262;lundi 2 juillet 2018;10.0448698;;;
T78264A;T78264;lundi 2 juillet 2018;0.838344562;;;
T78264B;T78264;lundi 2 juillet 2018;1.316286388;;;
T78264C;T78264;lundi 2 juillet 2018;3.1310967;;;
T78269A;T78269;lundi 2 juillet 2018;11.08555708;;;
T78269B;T78269;lundi 2 juillet 2018;12.9865357;;;
T78269C;T78269;lundi 2 juillet 2018;3.36271733;;;
T78270A;T78270;lundi 2 juillet 2018;6.091833955;;;
T78270B;T78270;lundi 2 juillet 2018;1.648453203;;;
T78270C;T78270;lundi 2 juillet 2018;2.331118109;;;
T78271A;T78271;lundi 2 juillet 2018;14.74364373;;;
T78271B;T78271;lundi 2 juillet 2018;18.47945164;;;
T78271C;T78271;lundi 2 juillet 2018;26.01339332;;;
T78273A;T78273;lundi 2 juillet 2018;2.219658537;;;
T78273B;T78273;lundi 2 juillet 2018;12.05619196;;;
T78273C;T78273;lundi 2 juillet 2018;18.51833062;;;
T78274A;T78274;lundi 2 juillet 2018;14.36311971;;;
T78274B;T78274;lundi 2 juillet 2018;2.628766977;;;
T78274C;T78274;lundi 2 juillet 2018;5.627042945;;;
T78279A;T78279;lundi 2 juillet 2018;1.941217513;;;
T78279B;T78279;lundi 2 juillet 2018;0.54115533;;;
T78279C;T78279;lundi 2 juillet 2018;1.914040914;;;
T78280A;T78280;lundi 2 juillet 2018;0.696459804;;;
T78280B;T78280;lundi 2 juillet 2018;11.4272038;;;
T78280C;T78280;lundi 2 juillet 2018;5.464418769;;;
T70721A;T70721;lundi 9 juillet 2018;1.290797653;;;
T70721B;T70721;lundi 9 juillet 2018;2.272417349;;;
T70721C;T70721;lundi 9 juillet 2018;0.312016301;;;
T70722A;T70722;lundi 9 juillet 2018;3.9662489;;;
T70722B;T70722;lundi 9 juillet 2018;8.894032899;;;
T70722C;T70722;lundi 9 juillet 2018;11.02007938;;;
T70724A;T70724;lundi 9 juillet 2018;8.80303723;;;
T70724B;T70724;lundi 9 juillet 2018;6.064114224;;;
T70724C;T70724;lundi 9 juillet 2018;9.517353338;;;
T70725A;T70725;lundi 9 juillet 2018;11.20804351;;;
T70725B;T70725;lundi 9 juillet 2018;14.23604689;;;
T70725C;T70725;lundi 9 juillet 2018;11.70185788;;;
T70730A;T70730;lundi 9 juillet 2018;23.72189036;;;
T70730B;T70730;lundi 9 juillet 2018;10.33493114;;;
T70730C;T70730;lundi 9 juillet 2018;8.70337987;;;
T70735A;T70735;lundi 9 juillet 2018;9.018395866;;;
T70735B;T70735;lundi 9 juillet 2018;6.348322005;;;
T70735C;T70735;lundi 9 juillet 2018;6.661369074;;;
T70737A;T70737;lundi 9 juillet 2018;5.777495027;;;
T70737B;T70737;lundi 9 juillet 2018;6.330785558;;;
T70737C;T70737;lundi 9 juillet 2018;5.482401097;;;
T70738A;T70738;lundi 9 juillet 2018;14.41366344;;;
T70738B;T70738;lundi 9 juillet 2018;4.192847386;;;
T70738C;T70738;lundi 9 juillet 2018;8.722599731;;;
T70743A;T70743;lundi 9 juillet 2018;0.368071471;;;
T70743B;T70743;lundi 9 juillet 2018;6.155018506;;;
T70743C;T70743;lundi 9 juillet 2018;2.844553636;;;
T70744A;T70744;lundi 9 juillet 2018;14.0097075;;;
T70744B;T70744;lundi 9 juillet 2018;19.8171456;;;
T70744C;T70744;lundi 9 juillet 2018;7.060411786;;;
T70745A;T70745;lundi 9 juillet 2018;7.443151612;;;
T70745B;T70745;lundi 9 juillet 2018;7.63811471;;;
T70745C;T70745;lundi 9 juillet 2018;3.909944675;;;
T70747A;T70747;lundi 9 juillet 2018;1.949512467;;;
T70747B;T70747;lundi 9 juillet 2018;0.898634098;;;
T70747C;T70747;lundi 9 juillet 2018;12.77073096;;;
T76995A;T76995;lundi 9 juillet 2018;6.535898388;;;
T76995B;T76995;lundi 9 juillet 2018;2.916873165;;;
T76995C;T76995;lundi 9 juillet 2018;6.179238572;;;
T77125A;T77125;lundi 9 juillet 2018;2.12209004;;;
T77125B;T77125;lundi 9 juillet 2018;4.719461466;;;
T77125C;T77125;lundi 9 juillet 2018;29.12982374;;;
T78256A;T78256;lundi 9 juillet 2018;16.74316179;;;
T78256B;T78256;lundi 9 juillet 2018;12.12472286;;;
T78256C;T78256;lundi 9 juillet 2018;15.34621036;;;
T78258A;T78258;lundi 9 juillet 2018;20.64031432;;;
T78258B;T78258;lundi 9 juillet 2018;15.28564018;;;
T78258C;T78258;lundi 9 juillet 2018;31.1413442;;;
T78259A;T78259;lundi 9 juillet 2018;8.934040612;;;
T78259B;T78259;lundi 9 juillet 2018;7.515165269;;;
T78259C;T78259;lundi 9 juillet 2018;2.903889969;;;
T78262A;T78262;lundi 9 juillet 2018;9.765427017;;;
T78262B;T78262;lundi 9 juillet 2018;8.167108393;;;
T78262C;T78262;lundi 9 juillet 2018;10.85920126;;;
T78264A;T78264;lundi 9 juillet 2018;1.411379465;;;
T78264B;T78264;lundi 9 juillet 2018;1.783722914;;;
T78264C;T78264;lundi 9 juillet 2018;6.856925831;;;
T78269A;T78269;lundi 9 juillet 2018;11.45482839;;;
T78269B;T78269;lundi 9 juillet 2018;11.88856383;;;
T78269C;T78269;lundi 9 juillet 2018;4.043913666;;;
T78270A;T78270;lundi 9 juillet 2018;7.71893431;;;
T78270B;T78270;lundi 9 juillet 2018;1.951115695;;;
T78270C;T78270;lundi 9 juillet 2018;2.118007192;;;
T78271A;T78271;lundi 9 juillet 2018;16.11971222;;;
T78271B;T78271;lundi 9 juillet 2018;14.68782965;;;
T78271C;T78271;lundi 9 juillet 2018;36.39349112;;;
T78273A;T78273;lundi 9 juillet 2018;2.407170616;;;
T78273B;T78273;lundi 9 juillet 2018;12.28121934;;;
T78273C;T78273;lundi 9 juillet 2018;22.45047257;;;
T78274A;T78274;lundi 9 juillet 2018;26.92250969;;;
T78274B;T78274;lundi 9 juillet 2018;3.69213592;;;
T78274C;T78274;lundi 9 juillet 2018;10.82804327;;;
T78279A;T78279;lundi 9 juillet 2018;1.82026662;;;
T78279B;T78279;lundi 9 juillet 2018;0.549403617;;;
T78279C;T78279;lundi 9 juillet 2018;2.006485051;;;
T78280A;T78280;lundi 9 juillet 2018;0.724611695;;;
T78280B;T78280;lundi 9 juillet 2018;10.78202628;;;
T78280C;T78280;lundi 9 juillet 2018;6.380312376;;;
T70721A;T70721;lundi 16 juillet 2018;1.098934895;;;
T70721B;T70721;lundi 16 juillet 2018;2.108551718;;;
T70721C;T70721;lundi 16 juillet 2018;0.350324258;;;
T70722A;T70722;lundi 16 juillet 2018;4.35131944;;;
T70722B;T70722;lundi 16 juillet 2018;8.153314005;;;
T70722C;T70722;lundi 16 juillet 2018;12.70127014;;;
T70724A;T70724;lundi 16 juillet 2018;8.940782137;;;
